,pc_guess_fem_1,pc_guess_unknown_1,pc_detect_fem_1,pc_detect_unknown_1pc_guess_fem_3,pc_guess_unknown_3,pc_detect_fem_3,pc_detect_unknown_3,pc_guess_fem_5,pc_guess_unknown_5,pc_detect_fem_5,pc_detect_unknown_5,pc_guess_fem_10,pc_guess_unknown_10,pc_detect_fem_10,pc_detect_unknown_10,pc_detect_unknown_1,pc_guess_fem_3,pc_detect_fem_10_upper,pc_detect_fem_10_lower,pc_guess_fem_10_upper,pc_guess_fem_10_lower
2000,0.28125,0.21951219512195122,0.26666666666666666,,0.1968503937007874,0.3076923076923077,0.28346456692913385,0.3393939393939394,0.175,0.32167832167832167,0.285,0.31563421828908556,0.16502463054187191,0.31313131313131315,0.2684729064039409,0.2682926829268293,0.3333333333333333,0.38024953973229836,0.24601308653032794,0.3568903759245535,0.2743780606536176
1999,0.3888888888888889,0.21739130434782608,0.3333333333333333,,0.18032786885245902,0.3764705882352941,0.30327868852459017,0.34523809523809523,0.16,0.3475177304964539,0.295,0.3157894736842105,0.16176470588235295,0.3079470198675497,0.25980392156862747,0.34782608695652173,0.38,0.37289800025970654,0.24299603947539283,0.35623065015479877,0.27534829721362225
1998,0.3235294117647059,0.15,0.3225806451612903,,0.1415929203539823,0.3373493975903614,0.26548672566371684,0.3413173652694611,0.15656565656565657,0.352112676056338,0.2828282828282828,0.3047337278106509,0.14430379746835442,0.3016949152542373,0.25316455696202533,0.225,0.3402061855670103,0.36498605449474364,0.23840377601373097,0.34080967717773947,0.2686577784435623
1997,0.43333333333333335,0.16666666666666666,0.5,,0.14035087719298245,0.3625,0.2982456140350877,0.30952380952380953,0.15577889447236182,0.3219178082191781,0.2663316582914573,0.2873900293255132,0.14105793450881612,0.28187919463087246,0.24937027707808565,0.3333333333333333,0.336734693877551,0.3442217639003939,0.21953662536135105,0.32265451295271724,0.2521255456983092
1996,0.2727272727272727,0.10810810810810811,0.21428571428571427,,0.1557377049180328,0.3218390804597701,0.28688524590163933,0.2807017543859649,0.15346534653465346,0.2781456953642384,0.2524752475247525,0.282798833819242,0.12944162436548223,0.2777777777777778,0.2233502538071066,0.24324324324324326,0.32038834951456313,0.33361534122955444,0.22194021432600114,0.31515923991061257,0.2504384277278714
1995,0.3142857142857143,0.14634146341463414,0.39285714285714285,,0.16666666666666666,0.30851063829787234,0.25396825396825395,0.29310344827586204,0.1553398058252427,0.3051948051948052,0.2524271844660194,0.2823529411764706,0.1326530612244898,0.27960526315789475,0.22448979591836735,0.3170731707317073,0.2857142857142857,0.3357277121374866,0.2234828141783029,0.31551620648259304,0.24918967587034813
1994,0.37142857142857144,0.20454545454545456,0.3548387096774194,,0.1693548387096774,0.2631578947368421,0.23387096774193547,0.28735632183908044,0.16346153846153846,0.2732919254658385,0.22596153846153846,0.3050314465408805,0.13114754098360656,0.2951388888888889,0.21311475409836064,0.29545454545454547,0.27184466019417475,0.34841757741347906,0.24186020036429873,0.3378183317867821,0.27224456129497887
1993,0.17142857142857143,0.14634146341463414,0.2,,0.14049586776859505,0.2631578947368421,0.21487603305785125,0.26900584795321636,0.1319796954314721,0.2549019607843137,0.2233502538071066,0.30927835051546393,0.12612612612612611,0.30566037735849055,0.2042042042042042,0.14634146341463414,0.25961538461538464,0.3567114284095416,0.2546093263074395,0.34080988204699547,0.2777468189839324
1992,0.2727272727272727,0.15384615384615385,0.2413793103448276,,0.15447154471544716,0.2736842105263158,0.22764227642276422,0.2658959537572254,0.12626262626262627,0.24342105263157895,0.23232323232323232,0.3435114503816794,0.1353135313531353,0.3389830508474576,0.22112211221122113,0.2564102564102564,0.2980769230769231,0.39426357890026287,0.28370252279465236,0.3773398332199632,0.3096830675433956
1991,0.3333333333333333,0.12195121951219512,0.3548387096774194,,0.11965811965811966,0.2808988764044944,0.23931623931623933,0.28488372093023256,0.10416666666666667,0.27741935483870966,0.19270833333333334,0.36554621848739494,0.14695340501792115,0.37037037037037035,0.22580645161290322,0.24390243902439024,0.30097087378640774,0.42682198327359616,0.31391875746714454,0.4022845697418752,0.32880786723291466
1990,0.2857142857142857,0.18604651162790697,0.22857142857142856,,0.11864406779661017,0.20652173913043478,0.22033898305084745,0.2710843373493976,0.10752688172043011,0.25333333333333335,0.1935483870967742,0.39622641509433965,0.14516129032258066,0.4020618556701031,0.21774193548387097,0.18604651162790697,0.2403846153846154,0.45649733954107086,0.34762637179913536,0.43251673767498483,0.35993609251369446
1989,0.28125,0.030303030303030304,0.2608695652173913,,0.06481481481481481,0.2696629213483146,0.17592592592592593,0.3263888888888889,0.08860759493670886,0.3228346456692913,0.1962025316455696,0.41089108910891087,0.13304721030042918,0.42934782608695654,0.21030042918454936,0.30303030303030304,0.26732673267326734,0.4819229333830939,0.3767727187908192,0.44415289168401817,0.37762928653380357
1988,0.16216216216216217,0.11904761904761904,0.14705882352941177,,0.1,0.2608695652173913,0.16363636363636364,0.36666666666666664,0.11764705882352941,0.375,0.17647058823529413,0.39790575916230364,0.14349775784753363,0.4198895027624309,0.18834080717488788,0.19047619047619047,0.26262626262626265,0.46697470455615286,0.372804300968709,0.43378019862418704,0.36203131970042024
1987,0.375,0.030303030303030304,0.40625,,0.0963855421686747,0.42857142857142855,0.1566265060240964,0.4943820224719101,0.1523809523809524,0.5119047619047619,0.2,0.41304347826086957,0.1598173515981735,0.44,0.2009132420091324,0.030303030303030304,0.4266666666666667,0.4902283105022831,0.3897716894977169,0.45299781616041296,0.3730891403613262
1986,0.26666666666666666,0.14285714285714285,0.23076923076923078,,0.16393442622950818,0.5217391304347826,0.2459016393442623,0.5757575757575758,0.2413793103448276,0.6065573770491803,0.2988505747126437,0.40606060606060607,0.1791044776119403,0.43870967741935485,0.22885572139303484,0.2571428571428571,0.5098039215686274,0.4959236077676136,0.3814957470710961,0.45083672546359116,0.361284486657621
1985,0.9230769230769231,0.13333333333333333,0.9166666666666666,,0.2702702702702703,0.9230769230769231,0.2972972972972973,0.8478260869565217,0.25806451612903225,0.9090909090909091,0.2903225806451613,0.4036144578313253,0.1782178217821782,0.4375,0.2079207920792079,0.2,0.8888888888888888,0.48948019801980197,0.38551980198019803,0.44816891327686986,0.3590600023857808
1984,0.75,0.2727272727272727,0.875,,0.3783783783783784,0.8695652173913043,0.3783783783783784,0.6206896551724138,0.22666666666666666,0.6666666666666666,0.24,0.3409090909090909,0.17757009345794392,0.38011695906432746,0.20093457943925233,0.2727272727272727,0.782608695652174,0.43035060392414054,0.3298833142045144,0.38530161427357684,0.2965165675446049
1983,1.0,0.45454545454545453,1.0,,0.3055555555555556,0.9166666666666666,0.3333333333333333,0.4507042253521127,0.1839080459770115,0.4927536231884058,0.20689655172413793,0.3076923076923077,0.16666666666666666,0.34210526315789475,0.18803418803418803,0.45454545454545453,0.84,0.38911381016644175,0.29509671614934774,0.3493589743589744,0.266025641025641
1982,0.6666666666666666,0.4,0.7777777777777778,,0.16981132075471697,0.5813953488372093,0.18867924528301888,0.3368421052631579,0.16666666666666666,0.37362637362637363,0.20175438596491227,0.2694063926940639,0.14453125,0.2932692307692308,0.1875,0.4,0.5454545454545454,0.3401442307692308,0.24639423076923078,0.3055392051940639,0.2332735801940639
1981,0.9,0.0,1.0,,0.08196721311475409,0.3888888888888889,0.11475409836065574,0.29292929292929293,0.13157894736842105,0.32978723404255317,0.17543859649122806,0.24892703862660945,0.12734082397003746,0.271889400921659,0.18726591760299627,0.1,0.35714285714285715,0.31870588032240804,0.2250729215209099,0.2807622446191188,0.2170918326341001
1980,0.36,0.10714285714285714,0.36,,0.14606741573033707,0.2465753424657534,0.1797752808988764,0.23333333333333334,0.14285714285714285,0.25862068965517243,0.17142857142857143,0.21311475409836064,0.12857142857142856,0.23788546255506607,0.18928571428571428,0.10714285714285714,0.2236842105263158,0.28520689112649467,0.1905640339836375,0.24525761124121778,0.1809718969555035
1979,0.09523809523809523,0.08695652173913043,0.15,,0.15789473684210525,0.21666666666666667,0.21052631578947367,0.2033898305084746,0.1510791366906475,0.23684210526315788,0.17985611510791366,0.18828451882845187,0.13090909090909092,0.2146118721461187,0.20363636363636364,0.13043478260869565,0.171875,0.2655209630552096,0.1637027812370278,0.2210117915557246,0.15555724610117916
1978,0.2,0.21052631578947367,0.21428571428571427,,0.16853932584269662,0.2535211267605634,0.20224719101123595,0.22580645161290322,0.1564625850340136,0.256198347107438,0.17687074829931973,0.189873417721519,0.14130434782608695,0.21100917431192662,0.21014492753623187,0.2631578947368421,0.22972972972972974,0.2635454061959846,0.15847294242786863,0.22519950467804073,0.15454733076499727
1977,0.23076923076923078,0.13333333333333333,0.3333333333333333,,0.14102564102564102,0.2727272727272727,0.15384615384615385,0.21774193548387097,0.1267605633802817,0.23076923076923078,0.176056338028169,0.1902654867256637,0.1274131274131274,0.20673076923076922,0.1969111969111969,0.2,0.23880597014925373,0.25595856845856846,0.15750297000296998,0.22211876857894555,0.15841220487238186
